label,arm,run,value_size,num_keys,pong_s,load_s,dbsize
v64k,fastboot-paced,1,65536,320000,16.188,16.166,320000
v64k,sweep-paced,1,65536,320000,0,NA,320000
v64k,fastboot-paced,2,65536,320000,16.484,16.474,320000
v64k,fastboot-paced,3,65536,320000,16.640,16.634,320000
v64k,meta-tiered,0,65536,320000,populate_s=100.685;tiered_shutdown_s=0.244,NA,0
v64k,vanilla-warm,1,65536,320000,19.516,NA,320000
v64k,vanilla-cold,1,65536,320000,22.345,22.326,320000
v64k,vanilla-cold,2,65536,320000,20.374,20.361,320000
v64k,vanilla-cold,3,65536,320000,20.897,20.892,320000
v512ks,fastboot-keyspill,1,512,2000000,2.802,2.783,0
v512ks,sweep-keyspill,1,512,2000000,0,NA,0
v512ks,fastboot-keyspill,2,512,2000000,2.866,2.851,0
v512ks,fastboot-keyspill,3,512,2000000,2.732,2.730,0
v512ks,meta-keyspill,0,512,2000000,populate_s=41.645;tiered_shutdown_s=0.550,NA,0
v4kks,fastboot-keyspill,1,4096,1000000,2.681,2.667,0
v4kks,sweep-keyspill,1,4096,1000000,0,NA,0
v4kks,fastboot-keyspill,2,4096,1000000,2.794,2.791,0
v4kks,fastboot-keyspill,3,4096,1000000,2.892,2.875,0
v4kks,meta-keyspill,0,4096,1000000,populate_s=30.005;tiered_shutdown_s=0.416,NA,0
v16kks,fastboot-keyspill,1,16384,250000,1.948,1.945,0
v16kks,sweep-keyspill,1,16384,250000,0,NA,0
v16kks,fastboot-keyspill,2,16384,250000,2.634,2.630,0
v16kks,fastboot-keyspill,3,16384,250000,2.931,2.915,0
v16kks,meta-keyspill,0,16384,250000,populate_s=19.448;tiered_shutdown_s=0.296,NA,0
v64kks,fastboot-keyspill,1,65536,320000,15.980,15.960,0
v64kks,sweep-keyspill,1,65536,320000,0,NA,0
v64kks,fastboot-keyspill,2,65536,320000,16.246,16.231,0
v64kks,fastboot-keyspill,3,65536,320000,16.524,16.512,0
v64kks,meta-keyspill,0,65536,320000,populate_s=100.948;tiered_shutdown_s=0.402,NA,0
v512,vanilla-warm,1,512,2000000,2.494,NA,2000000
v512,vanilla-cold,1,512,2000000,2.461,2.457,2000000
v512,vanilla-cold,2,512,2000000,2.460,2.456,2000000
v512,vanilla-cold,3,512,2000000,2.481,2.457,2000000
v4k,vanilla-warm,1,4096,1000000,5.147,NA,1000000
v4k,vanilla-cold,1,4096,1000000,5.304,5.301,1000000
v4k,vanilla-cold,2,4096,1000000,5.304,5.291,1000000
v4k,vanilla-cold,3,4096,1000000,5.285,5.277,1000000
v16k,vanilla-warm,1,16384,250000,4.294,NA,250000
v16k,vanilla-cold,1,16384,250000,4.120,4.100,250000
v16k,vanilla-cold,2,16384,250000,3.995,3.990,250000
v16k,vanilla-cold,3,16384,250000,4.455,4.434,250000
v512ix,fastboot-keyspill,1,512,2000000,0.072,0.060,0
v512ix,sweep-keyspill,1,512,2000000,0,NA,0
v512ix,fastboot-keyspill,2,512,2000000,0.072,0.058,0
v512ix,fastboot-keyspill,3,512,2000000,0.072,0.058,0
v512ix,meta-keyspill,0,512,2000000,populate_s=41.721;tiered_shutdown_s=0.764,NA,0
v4kix,fastboot-keyspill,1,4096,1000000,0.049,0.030,0
v4kix,sweep-keyspill,1,4096,1000000,0,NA,0
v4kix,fastboot-keyspill,2,4096,1000000,0.049,0.030,0
v4kix,fastboot-keyspill,3,4096,1000000,0.049,0.030,0
v4kix,meta-keyspill,0,4096,1000000,populate_s=30.166;tiered_shutdown_s=0.532,NA,0
v16kix,fastboot-keyspill,1,16384,250000,0.026,0.007,0
v16kix,sweep-keyspill,1,16384,250000,0,NA,0
v16kix,fastboot-keyspill,2,16384,250000,0.026,0.007,0
v16kix,fastboot-keyspill,3,16384,250000,0.026,0.008,0
v16kix,meta-keyspill,0,16384,250000,populate_s=19.397;tiered_shutdown_s=0.290,NA,0
v64kix,fastboot-keyspill,1,65536,320000,0.026,0.009,0
v64kix,sweep-keyspill,1,65536,320000,0,NA,0
v64kix,fastboot-keyspill,2,65536,320000,0.026,0.009,0
v64kix,fastboot-keyspill,3,65536,320000,0.026,0.009,0
v64kix,meta-keyspill,0,65536,320000,populate_s=100.389;tiered_shutdown_s=0.443,NA,0
