label,arm,conns,n,boot_s,touch_s,misses
v512,tiered,1conn,2000000,0.072,2133.050,0
v512,tiered,8conn,2000000,0.072,284.075,0
v512,vanilla,1conn,2000000,0.003,4.476,0
v512,vanilla,8conn,2000000,2.558,3.430,0
v4k,tiered,1conn,1000000,0.049,1070.000,0
v4k,tiered,8conn,1000000,0.049,143.197,0
v4k,vanilla,1conn,1000000,5.533,4.595,0
v4k,vanilla,8conn,1000000,5.610,4.517,0
v16k,tiered,1conn,250000,0.026,267.933,0
v16k,tiered,8conn,250000,0.026,36.473,0
v16k,vanilla,1conn,250000,4.421,1.237,0
v16k,vanilla,8conn,250000,4.869,1.262,0
v64k,tiered,1conn,320000,0.026,345.349,0
v64k,tiered,8conn,320000,0.026,48.820,0
v64k,vanilla,1conn,320000,17.506,5.014,0
v64k,vanilla,8conn,320000,17.414,4.810,0
v512,tiered,100conn,2000000,0.071,11.072,0
v512,vanilla,100conn,2000000,2.450,3.446,0
v4k,tiered,100conn,1000000,0.049,9.397,0
v4k,vanilla,100conn,1000000,5.539,4.391,0
